zip,latitude,longitude,city,stateCode,state,county,country,countryCodeIso2,countryCodeIso3,type
35475,33.43293,-87.58694,Northport,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35476,33.22732,-87.59444,Northport,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35477,32.95132,-88.24098,Panola,AL,Alabama,Sumter,United State Of America,US,USA,Location
35480,33.08965,-87.82006,Ralph,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35481,33.39398,-88.03736,Reform,AL,Alabama,Pickens,United State Of America,US,USA,Location
35490,33.21341,-87.24587,Vance,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35501,33.81908,-87.29271,Jasper,AL,Alabama,Walker,United State Of America,US,USA,Location
35503,33.93756,-87.30035,Jasper,AL,Alabama,Walker,United State Of America,US,USA,Location
35504,33.89267,-87.1667,Jasper,AL,Alabama,Walker,United State Of America,US,USA,Location
35540,34.23388,-87.18817,Addison,AL,Alabama,Winston,United State Of America,US,USA,Location
35541,34.08013,-87.18065,Arley,AL,Alabama,Winston,United State Of America,US,USA,Location
35542,33.71588,-87.67889,Bankston,AL,Alabama,Fayette,United State Of America,US,USA,Location
35543,34.22419,-87.75005,Bear Creek,AL,Alabama,Marion,United State Of America,US,USA,Location
35544,33.95519,-88.01906,Beaverton,AL,Alabama,Lamar,United State Of America,US,USA,Location
35545,33.65152,-87.93483,Belk,AL,Alabama,Fayette,United State Of America,US,USA,Location
35546,33.60721,-87.54901,Berry,AL,Alabama,Fayette,United State Of America,US,USA,Location
35548,34.06757,-87.75118,Brilliant,AL,Alabama,Marion,United State Of America,US,USA,Location
35549,33.8364,-87.54728,Carbon Hill,AL,Alabama,Walker,United State Of America,US,USA,Location
35550,33.74176,-87.16599,Cordova,AL,Alabama,Walker,United State Of America,US,USA,Location
35552,34.07229,-88.14217,Detroit,AL,Alabama,Lamar,United State Of America,US,USA,Location
35553,34.12065,-87.38569,Double Springs,AL,Alabama,Winston,United State Of America,US,USA,Location
35554,33.8961,-87.65716,Eldridge,AL,Alabama,Marion,United State Of America,US,USA,Location
35555,33.6663,-87.81846,Fayette,AL,Alabama,Fayette,United State Of America,US,USA,Location
35559,33.90559,-87.72823,Glen Allen,AL,Alabama,Fayette,United State Of America,US,USA,Location
35563,33.98374,-87.8977,Guin,AL,Alabama,Marion,United State Of America,US,USA,Location
35564,34.25604,-87.84794,Hackleburg,AL,Alabama,Marion,United State Of America,US,USA,Location
35565,34.23414,-87.55886,Haleyville,AL,Alabama,Winston,United State Of America,US,USA,Location
